number,state,opened_at,resolved_at,closed_at,u_research_assessment
INC1234622,Closed,12/19/2022 0:00,12/20/2022 0:00,1/7/2023 0:00,System Issue
INC1234623,Closed,12/20/2022 0:00,12/21/2022 0:00,1/8/2023 0:00,Workspace Issue
INC1234624,Closed,12/21/2022 0:00,12/22/2022 0:00,1/9/2023 0:00,Login Issue
INC1234625,Closed,12/22/2022 0:00,12/23/2022 0:00,1/10/2023 0:00,Credential Issue
INC1234626,Closed,12/23/2022 0:00,12/24/2022 0:00,1/11/2023 0:00,Data Issue
INC1234627,Closed,1/1/2021 0:00,1/2/2021 0:00,2/4/2021 0:00,Login Issue
INC1234628,Closed,1/2/2021 0:00,1/3/2021 0:00,2/5/2021 0:00,Product Issue
INC1234629,Closed,1/3/2021 0:00,1/4/2021 0:00,2/6/2021 0:00,System Issue
INC1234630,Closed,2/3/2021 0:00,2/4/2021 0:00,3/4/2021 0:00,Workspace Issue
INC1234631,Closed,2/4/2021 0:00,3/4/2021 0:00,4/5/2021 0:00,Login Issue
INC1234632,Closed,3/4/2021 0:00,3/5/2021 0:00,4/6/2021 0:00,Product Issue
INC1234633,Closed,3/5/2021 0:00,4/5/2021 0:00,5/8/2021 0:00,Credential Issue
INC1234634,Closed,4/5/2021 0:00,4/6/2021 0:00,5/9/2021 0:00,Data Issue
INC1234635,Closed,4/6/2021 0:00,4/7/2021 0:00,5/10/2021 0:00,Login Issue
INC1234636,Closed,5/6/2021 0:00,5/8/2021 0:00,6/10/2021 0:00,
INC1234637,Closed,5/7/2021 0:00,6/9/2021 0:00,7/10/2021 0:00,System Issue
INC1234638,Closed,5/8/2021 0:00,6/10/2021 0:00,7/11/2021 0:00,Workspace Issue
INC1234639,Closed,6/8/2021 0:00,6/11/2021 0:00,7/12/2021 0:00,Product Issue
INC1234640,Closed,6/9/2021 0:00,6/12/2021 0:00,7/13/2021 0:00,System Issue
INC1234641,Closed,7/9/2021 0:00,7/10/2021 0:00,8/12/2021 0:00,Workspace Issue
INC1234642,Closed,7/10/2021 0:00,7/11/2021 0:00,8/13/2021 0:00,Credential Issue
INC1234643,Closed,7/11/2021 0:00,7/12/2021 0:00,8/14/2021 0:00,Data Issue
INC1234644,Closed,7/12/2021 0:00,7/13/2021 0:00,8/15/2021 0:00,Credential Issue
INC1234645,Closed,8/11/2021 0:00,8/12/2021 0:00,9/15/2021 0:00,Data Issue
INC1234646,Closed,8/12/2021 0:00,8/13/2021 0:00,9/16/2021 0:00,Login Issue
INC1234647,Closed,8/13/2021 0:00,9/15/2021 0:00,10/20/2021 0:00,Product Issue
INC1234648,Closed,8/14/2021 0:00,9/16/2021 0:00,10/21/2021 0:00,Credential Issue
INC1234649,Closed,8/15/2021 0:00,9/17/2021 0:00,10/22/2021 0:00,Data Issue
INC1234650,Closed,9/15/2021 0:00,9/18/2021 0:00,10/23/2021 0:00,Login Issue
INC1234651,Closed,9/16/2021 0:00,9/19/2021 0:00,10/24/2021 0:00,Product Issue
INC1234652,Closed,10/16/2021 0:00,10/20/2021 0:00,11/20/2021 0:00,System Issue
INC1234653,Closed,10/17/2021 0:00,10/21/2021 0:00,11/21/2021 0:00,Workspace Issue
INC1234654,Closed,10/18/2021 0:00,10/22/2021 0:00,11/22/2021 0:00,Login Issue
INC1234655,Closed,10/19/2021 0:00,10/23/2021 0:00,11/23/2021 0:00,ESHD Alert
INC1234656,Closed,10/20/2021 0:00,10/24/2021 0:00,11/24/2021 0:00,Failure > Alert
INC1234657,Closed,10/21/2021 0:00,11/20/2021 0:00,12/23/2021 0:00,Tableau Issue
INC1234658,Closed,10/22/2021 0:00,11/21/2021 0:00,12/24/2021 0:00,Credential Issue
INC1234659,Closed,10/23/2021 0:00,11/22/2021 0:00,12/25/2021 0:00,Data Issue
INC1234660,Closed,11/20/2021 0:00,11/23/2021 0:00,12/26/2021 0:00,Login Issue
INC1234661,Closed,11/21/2021 0:00,11/24/2021 0:00,12/27/2021 0:00,Product Issue
INC1234662,Closed,11/22/2021 0:00,11/25/2021 0:00,12/28/2021 0:00,System Issue
INC1234663,Closed,11/23/2021 0:00,12/23/2021 0:00,1/1/2022 0:00,Workspace Issue
INC1234664,Closed,12/23/2021 0:00,12/24/2021 0:00,1/2/2022 0:00,System Issue
INC1234665,Closed,12/24/2021 0:00,1/1/2022 0:00,2/2/2022 0:00,Workspace Issue
INC1234666,Closed,12/25/2021 0:00,1/2/2022 0:00,2/3/2022 0:00,
